Title,Release Date,Price,Link
Counter-Strike 2,"21 Aug, 2012",Free,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1
Resident Evil Requiem,"26 Feb, 2026",$52.49,https://store.steampowered.com/app/3764200/Resident_Evil_Requiem/?snr=1_7_7_7000_150_1
PUBG: BATTLEGROUNDS,"21 Dec, 2017",Free,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1
Euro Truck Simulator 2,"12 Oct, 2012",$2.52,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_1
ARC Raiders,"30 Oct, 2025",$39.99,https://store.steampowered.com/app/1808500/ARC_Raiders/?snr=1_7_7_7000_150_1
Rust,"8 Feb, 2018",$18.99,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1
Black Desert,"16 May, 2018",$4.99,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_7000_150_1
Throne and Liberty,"1 Oct, 2024",Free,https://store.steampowered.com/app/2429640/Throne_and_Liberty/?snr=1_7_7_7000_150_1
Battlefield™ 6,"10 Oct, 2025",$45.49,https://store.steampowered.com/app/2807960/Battlefield_6/?snr=1_7_7_7000_150_1
Football Manager 26,"4 Nov, 2025",$33.49,https://store.steampowered.com/app/3551340/Football_Manager_26/?snr=1_7_7_7000_150_1
World of Warships,"15 Nov, 2017",Free,https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_7000_150_1
EA SPORTS FC™ 26,"25 Sep, 2025",$48.00,https://store.steampowered.com/app/3405690/EA_SPORTS_FC_26/?snr=1_7_7_7000_150_1
Poppy Playtime,"12 Oct, 2021",Free,https://store.steampowered.com/app/1721470/Poppy_Playtime/?snr=1_7_7_7000_150_1
Poppy Playtime - Chapter 5,"18 Feb, 2026",$10.49,https://store.steampowered.com/app/4100940/Poppy_Playtime__Chapter_5/?snr=1_7_7_7000_150_1
The Quinfall,"6 Feb, 2026",$7.99,https://store.steampowered.com/app/2294660/The_Quinfall/?snr=1_7_7_7000_150_1
Resident Evil 4,"24 Jan, 2019",$11.99,https://store.steampowered.com/app/2050650/Resident_Evil_4/?snr=1_7_7_7000_150_1
Where Winds Meet,"14 Nov, 2025",Free,https://store.steampowered.com/app/3564740/Where_Winds_Meet/?snr=1_7_7_7000_150_1
Apex Legends™,"4 Nov, 2020",Free,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_7000_150_1
Marvel Rivals,"5 Dec, 2024",Free,https://store.steampowered.com/app/2767030/Marvel_Rivals/?snr=1_7_7_7000_150_1
God of War Ragnarök,"19 Sep, 2024",$33.49,https://store.steampowered.com/app/2322010/God_of_War_Ragnark/?snr=1_7_7_7000_150_1
Cyberpunk 2077,"9 Dec, 2020",$20.24,https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_7000_150_1
Mewgenics,"10 Feb, 2026",$13.49,https://store.steampowered.com/app/686060/Mewgenics/?snr=1_7_7_7000_150_1
PEAK,"16 Jun, 2025",$2.47,https://store.steampowered.com/app/3527290/PEAK/?snr=1_7_7_7000_150_1
Dead by Daylight,"14 Jun, 2016",$14.99,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_7000_150_1
Forza Horizon 6,"18 May, 2026",$48.99,https://store.steampowered.com/app/2483190/Forza_Horizon_6/?snr=1_7_7_7000_150_1
Grand Theft Auto V Enhanced,"4 Mar, 2025",$29.99,https://store.steampowered.com/app/3240220/Grand_Theft_Auto_V_Enhanced/?snr=1_7_7_7000_150_1
REANIMAL,"13 Feb, 2026",$18.99,https://store.steampowered.com/app/2129530/REANIMAL/?snr=1_7_7_7000_150_1
DARK SOULS™ III,"11 Apr, 2016",$19.99,https://store.steampowered.com/app/374320/DARK_SOULS_III/?snr=1_7_7_7000_150_1
HELLDIVERS™ 2,"8 Feb, 2024",$39.99,https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_7_7_7000_150_1
Knight Online,"25 Jan, 2016",Free,https://store.steampowered.com/app/389430/Knight_Online/?snr=1_7_7_7000_150_1
The Outlast Trials,"5 Mar, 2024",$5.69,https://store.steampowered.com/app/1304930/The_Outlast_Trials/?snr=1_7_7_7000_150_1
American Truck Simulator,"2 Feb, 2016",$2.52,https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_7000_150_1
Bellwright,"23 Apr, 2024",$9.89,https://store.steampowered.com/app/1812450/Bellwright/?snr=1_7_7_7000_150_1
Crimson Desert,"19 Mar, 2026",$69.99,https://store.steampowered.com/app/3321460/Crimson_Desert/?snr=1_7_7_7000_150_1
METAL GEAR SOLID Δ: SNAKE EATER,"28 Aug, 2025",$16.49,https://store.steampowered.com/app/2417610/METAL_GEAR_SOLID_D_SNAKE_EATER/?snr=1_7_7_7000_150_1
Dota 2,"9 Jul, 2013",Free,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1
The Last of Us™ Part I,"28 Mar, 2023",$29.99,https://store.steampowered.com/app/1888930/The_Last_of_Us_Part_I/?snr=1_7_7_7000_150_1
No Man's Sky,"12 Aug, 2016",$10.79,https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_7000_150_1
Black Myth: Wukong,"19 Aug, 2024",$44.99,https://store.steampowered.com/app/2358720/Black_Myth_Wukong/?snr=1_7_7_7000_150_1
NBA 2K26,"4 Sep, 2025",$40.60,https://store.steampowered.com/app/3472040/NBA_2K26/?snr=1_7_7_7000_150_1
It Takes Two,"25 Mar, 2021",$7.99,https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_7_7_7000_150_1
Monster Hunter Wilds,"27 Feb, 2025",$28.86,https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds/?snr=1_7_7_7000_150_1
Mount & Blade II: Bannerlord,"25 Oct, 2022",$19.99,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_7000_150_1
Diablo® IV,"28 Apr, 2026",$29.99,https://store.steampowered.com/app/2344520/Diablo_IV/?snr=1_7_7_7000_150_1
It Takes Two Friend's Pass,"25 May, 2021",Free,https://store.steampowered.com/app/2995920/It_Takes_Two_Friends_Pass/?snr=1_7_7_7000_150_1
eFootball™,"29 Sep, 2021",Free,https://store.steampowered.com/app/1665460/eFootball/?snr=1_7_7_7000_150_1
DEATH STRANDING 2: ON THE BEACH,"19 Mar, 2026",$69.99,https://store.steampowered.com/app/3280350/DEATH_STRANDING_2_ON_THE_BEACH/?snr=1_7_7_7000_150_1
God of War,"14 Jan, 2022",$19.99,https://store.steampowered.com/app/1593500/God_of_War/?snr=1_7_7_7000_150_1
Age of Empires II: Definitive Edition,"14 Nov, 2019",$19.99,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_7000_150_1
War Thunder,"15 Aug, 2013",Free,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_1
